		概要			ソフトウェア	トラッキング				入力	基礎能力		レンズ		ビジュアル			オーディオ			価格\n※込み込み		参考情報		
製品名	tag	写真	タイプ	所感	プラットフォーム	ヘッドトラッキング	ハンドトラッキング	エリア	快適さ（体感）	入力	プロセッサ	内臓ストレージ	IPD	視度調節	画素密度（斜辺のピクセル数を視野角で割った値。参考に留めて下さい。）	ディスプレイ	視野角	ヘッドフォン	マイク	ヘッドフォン端子	米ドル（税込）	日本円（税込）	リンク1	リンク2	リンク3
Half-Dome Prototype（研究段階）	virtual oculus pc head6DoF bothhands6DoF	/images/headsets/Half-Dome.jpg	PC	2018年のF8で発表された Oculus の新しいプロトタイプ。これが Rift 2 になっていくんじゃねーの？（アッ） 人間の目の能力に追いつく努力の一環を見ることができる。これは、視野角と焦点距離の問題に文字通り "フォーカス" を当てたプロトタイプである。 これまでのヘッドセットはレンズとディスプレイの位置関係が固定されていたが、本機ではディスプレイが前後に移動することで自在に焦点距離を変更することができる。これは輻輳調節矛盾を解消するもので、目への負担や違和感を大きく改善できる可能性がある。もちろんこのためにアイトラッキングをちゃっかり実現している。また、新しく140度の視野角を実現する光学系を開発している。これらが Rift と同等のフォームファクタで既に動作している点が一番ヤバい。	-	-	-	-	筆者未体験	-	PC依存	-	-	-	-	Varifocal ディスプレイ	140度	ヘッドフォン備え付け	-	-	-	-	link:Mogura VR さんの記事,https://www.moguravr.com/oculus-half-dome-vr/	link:筆者の記事,https://yutokun.com/blog/2018/f8-day2/	
Varjo VR-1	virtual steam pc head6DoF bothhands6DoF	/images/headsets/Varjo%20VR-1.jpg	PC	フィンランドのスタートアップ Varjo が開発中の VR ヘッドセット。人の目レベルの圧倒的な解像度（3000 PPI。Vive Pro が 615 PPI と言うと凄まじさがわかる。）を特徴としている。片目ごとに2枚のディスプレイとアイトラッキングを併用することにより、人間の目には現実と変わらない高解像度に映る。お値段はさすがの 5,995 ドル。また、将来発売予定のアドオンを使用することで MR が可能になる。公式サイトで見ることができるリアルタイムキャプチャの映像は必見。\n独自開発の 20/20 アイトラッカーを搭載し、1度以下の精度で視線を追跡することが可能。アクティブ冷却システムやメガネ可といった細かい点もきっちり抑えている。コントローラーは付属しないが、SteamVR 互換製品を使用可能。ただし、SteamVR のコンテンツがそのまま使えるわけではない。2019年9月から国内販売開始予定。	SteamVR	6DoF（SteamVR Tracking 1.0 & 2.0）\nART Tracking System	両手6DoF（SteamVR 互換コントローラーを別途購入）	最大10m四方	筆者未体験	SteamVR 互換入力装置（別売）	PC依存	-	自動 IPD 調整	-	60px 以上	Context display + Bionic Display™	87度	-	-	-	$5,995	?	link:公式サイト,https://varjo.com/vr-1/	link:Mogura VR さんのインタビュー記事,https://www.moguravr.com/varjo-interview/	
Valve Index	virtual steam pc head6DoF bothhands6DoF 	/images/headsets/Valve%20Index.jpg	PC	Steam を運営する Valve が発表した VR ヘッドセット。パススルー用ステレオカメラや前面の拡張ポートなど開発者がワクワクする仕様を持っている。のみならず、高速・高解像度・RGB なパネルや130度と推測される視野角を持ち、IPD 調整も抑えているなど単純に遊ぶための製品としても群を抜いている。待望の5指トラッキングコントローラーである Knuckles のリリース版が付属しており、熱い視線を注がれつつある。プレオーダーが開始されたが、日本はおま国中。日本語ガイドが出ていることから、発売する気持ちはありそうなので首を長くして待っている。	SteamVR	6DoF	両手6DoF	Inside-Out のため制限なし	筆者未体験	Valve Index Controllers（旧 Knuckles）	PC依存	-	58mm - 70mm	?	?	2880 × 1600 @ 80 / 90 / 120 / 144fps	130度	ヘッドフォン備え付け	デュアルマイクアレイ内蔵	ステレオミニ	フルセット: $999\nコントローラー付き: $749\nHMD のみ: $499	?	link:公式サイト,https://store.steampowered.com/sale/valve_index/	link:MoguraVR さんの記事,https://www.moguravr.com/index-2/	link:,
Oculus Rift S	virtual oculus pc head6DoF bothhands6DoF 	/images/headsets/Rift%20S.jpg	PC	Oculus Rift のアップデート版。Half Dome の製品化まで Rift で粘るのかと思ったら S が出た。Oculus Insight や Quest と共通の Oculus Touch を備え、可動部分のない耳元スピーカを採用している。これらの変更により、Rift の弱点であった USB 帯域消費問題、ヘッドフォン断線問題、バックパックPCによる自由歩行不可問題が解決したと考えられる。ついでに眼鏡もオッケーになっているらしい。歓喜。\n開発者視点では、Quest と同等のトラッキング・コントローラーを使える点が重要に思えており、むしろ Quest を伸ばしたいがための Rift S なのかもしれない。\nLenovo と協働して装着機構が一新され、使い勝手は良くなっている。Oculus ファンとしては Lenovo ロゴがバーンと出てるのにはエエッと思わざるを得ないけど。思うでしょ？\nまた物理 IPD 調節機構が取り払われており、退職した創業者の Palmer Luckey 氏がブログにて改善案を提示するなど議論を呼んでいる部分もある。僕もどうかと思う。ソフトウェアで一応調整はできるらしい。	Oculus\nSteamVR\nViveport	6DoF（Oculus Insight）	両手6DoF	Inside-Out のため制限なし	筆者未体験	Oculus Touch	PC依存	-	63.5mm（ソフトウェアで多少は調整可）	-	25.54px	2560 × 1440 @ 80fps	115度	ステレオスピーカー内蔵	マイク内蔵	ステレオミニ	$399	¥49,800	link:公式サイト,https://www.oculus.com/rift-s/	link:Mogura VR さんの体験レポ,https://www.moguravr.com/oculus-rift-s-4/	link:,
VIVE Cosmos	virtual steam pc mobile smartphone head6DoF bothhands6DoF 	/images/headsets/VIVE%20Cosmos.jpg	PC	CES 2019 で発表された HTC の新しいヘッドセット。PC 用を標榜しているが、スマホも接続できそうなティーザーが出ている。独自の Inside-Out トラッキングシステムである VIVE トラッキングシステムを採用し、ベースステーションが不要となったほか、前2眼・左右1眼のカメラを使うことで相当に広い領域をトラッキングできると思われる。新たにコンパクトに…というか Oculus Touch みたいになった可視光追跡っぽい VIVE コントローラーを使用し、両手 6DoF のトラッキングが可能。なおイヤフォンは別売り。モジュラーカスタマイズを推しており、今後発表される追加機器で新機能を増やしていけると思われる。ワクワクするだけでなく、製品寿命を延ばす試みとしても面白い。また、PSVR のように RGB 配列のディスプレイを採用し、ペンタイル配列のオリジナル VIVE 等に比べて網目間のない表示を実現している。HTC オリジナルのホーム環境/プラットフォームと思われる、VIVE Reality System を搭載する初のヘッドセット。2019年後半に機能や価格の詳細が公表される予定。	SteamVR	6DoF（VIVE トラッキングシステム）	両手6DoF	Inside-Out のため制限なし（詳細待ち）	筆者未体験	VIVE コントローラー\n（Oculus Touch っぽい専用モデル）	PC 依存	-	調整可能（範囲不明）	?	?	?	?	オプションでデラックスオーディオストラップっぽいイヤホンを装着可能	?	?	?	?	link:公式サイト,https://www.vive.com/jp/cosmos/	link:Cosmos は Vive の後継じゃないよ記事,https://www.roadtovr.com/htc-vive-cosmos-not-successor-original-vive/	link:初出時プレスリリース,https://prtimes.jp/main/html/rd/p/000000010.000033579.html
Odin	virtual steam pc head6DoF bothhands6DoF 	/images/headsets/Odin.jpg	PC	ロシアの DEUS が開発する SteamVR 互換のヘッドセット。高精彩を実現している点も注目だが、特筆すべきは Horus と呼ばれる独自のトラッキングシステムだ。Lighthouse よりも広い範囲に光を投射することで、2つのベースステーションで200平方メートル（正方形で 14m × 14m）のトラッキングを実現し、ベースステーションを "無限に" 増やすことでトラッキング範囲を拡張できるとしている。\n2019年2月に発売予定のビジネス＆開発者向けモデルは Odin Pre と呼ばれ、3DoF のコントローラー1個が付属している。2019年夏に 6DoF 両手コントローラー付属の一般モデルを発売予定。	SteamVR	6DoF（Horus）	両手6DoF	最大200平方メートル（付属する2つのベースステーションで）	筆者未体験	付属する2つのモーションコントローラー	PC依存	-	?	?	34.63px	4320 × 2160	110度	?	?	?	Odin Pre: $1100（予定）	?	link:公式サイト,https://deusvr.ru/	link:Mogura VR さんの記事,https://www.moguravr.com/deus-odin/	link:UploadVR さんの記事,https://uploadvr.com/odin-new-steamvr-headset-russia/
VIVE Pro Eye	virtual steam pc head6DoF bothhands6DoF 	/images/headsets/VIVE%20Pro%20Eye.jpg	PC	VIVE Pro にアイトラッキングモジュールを装備した上位機種。\nNVIDIA の RTX シリーズを使用することで、フォービエイテッド・レンダリングが可能になり、より高品質なビジュアルを実現できる可能性が高まる。また、より自然な視線操作や、正確なヒートマップによるコンテンツ分析も行える可能性を持っている。\nアバター文化の側面から見ると、視線や瞬きによるコミュニケーションが可能になり、ソーシャルサービス上で強い実在感を実現できると思われる。\n2019年4～6月発売予定。	SteamVR\nViveport	6DoF（SteamVR Tracking 2.0）	両手6DoF	最大10m四方	筆者未体験	Vive Controller\nVive Tracker（別売）	PC依存	-	可変（範囲不明）	?	29.95px	2880 × 1600 @ 90fps	110度	ヘッドフォン備え付け	デュアルマイク内臓	なし（内蔵 USB Type-C 端子を使用可能）	ビジネス保証込み: €1,937	?	link:公式サイト,https://www.vive.com/jp/pro-eye/	link:視線追跡とまばたきの様子,https://www.youtube.com/watch?v=S4Pfc1O-_j8	link:初出時プレスリリース,https://prtimes.jp/main/html/rd/p/000000010.000033579.html
HTC Vive Pro	virtual steam pc head6DoF bothhands6DoF	/images/headsets/HTC%20Vive%20Pro.jpg	PC	Vive の上位機種として発表された。従来より解像度が大きく上がり、脱着機構やヘッドフォンにも見直しが入っている。前面のデュアルカメラにより、現実の物体をアウトラインで表示する新生 Chaperone が使えるらしい。新トラッキングシステム対応で、10m四方の空間を自由に歩ける。	SteamVR\nViveport	6DoF（SteamVR Tracking 2.0）	両手6DoF	最大10m四方	◎	Vive Controller\nVive Tracker（別売）	PC依存	-	可変（範囲不明）	?	29.95px	2880 × 1600 @ 90fps	110度	ヘッドフォン備え付け	デュアルマイク内臓	なし（内蔵 USB Type-C 端子を使用可能）	Upgrade Kit: $799\nStarter Kit: $1,098\nFull Kit: $1,510.92	アップグレードキット: ¥101,520\nスターターキット: ¥143,640\nフルセット: ¥175,910	link:公式サイト,https://www.vive.com/jp/product/vive-pro/		
HP Reverb	virtual steam winmr pc head6DoF bothhands6DoF 	/images/headsets/HP%20Reverb.jpg	PC	HP が突然発表した新しい WinMR ヘッドセット。ビジネス分野絶対倒すという気迫を感じる高解像度ディスプレイを備える。RGB サブピクセルを省略しない LCD であるため、数字の差以上に高画質に見えそう。正直早く見たい。解像度が上がっただけの事はあり、NVIDIA なら GTX 1080 か Quadro P5200 が推奨されている。形状が…Rift みたいです…というところはご愛嬌。\n2019年4月下旬（late-April）発売。	Windows Store\nSteamVR	6DoF	両手6DoF	Inside-Out のため制限なし	筆者未体験	ハンドコントローラー（6DoF）	PC依存	-	多分63mm（ソフトウェアで 55 - 71mm に擬似調整）	-	42.37px	4320 × 2160 @ 90fps	114度	ヘッドフォン備え付け	デュアルマイク	ステレオミニ（マイク可）	Consumer Edition: $599\nProfessional Edition: $649	¥68,580	link:公式サイト,https://www8.hp.com/us/en/workstations/mixed-reality-headset/index.html	link:Mogura VR さんの記事,https://www.moguravr.com/hp-reverb/	link:プレスリリース,https://press.ext.hp.com/us/en/press-releases/2019/hp-unveils-cutting-edge-virtual-reality-headset-at-global-partner-conference.html
HMD Odyssey+	virtual winmr steam pc head6DoF bothhands6DoF	/images/headsets/Odyssey+.jpg	PC	Samsung による Windows MR 機の改良版。ビジュアル的な数字の上では変化がないように見えるが、Anti-SDE AMOLED ディスプレイを採用したことが大きな改良点。これにより、ピクセルの黒い隙間が見えづらくなったことで、より高精細に…倍の解像度に見える、というのが Samsung の言である。言われていないが、明るさの印象も上がって見えるのではないかと思われる。\n他に、本体の軽量化と大きな眼鏡、鼻サイズへの対応が行われており、より多くの人が扱いやすく、ますます隙のないデバイスとなった。	Windows Store\nSteamVR	6DoF	両手6DoF	Inside-Out のため制限なし	筆者未体験	ハンドコントローラー（6DoF）\nXbox One Controller（別売）	PC依存	-	60 - 72mm	-	29.95px（Anti-SDE により、さらに高精細に見える？）	2880 × 1600 @ 60 / 90fps	110度	ヘッドフォン備え付け （AKG 360° Spatial Sound）	アレイマイク内臓	-	$499.99	-	link:公式サイト,https://www.samsung.com/us/computing/hmd/windows-mixed-reality/hmd-odyssey-windows-mixed-reality-headset-xe800zba-hc1us/	link:発表時のリリース文,https://www.samsungmobilepress.com/news/taking-mixed-reality-to-another-level-with-the-samsung-hmd-odyssey-plus	
HMD Odyssey	virtual winmr steam pc head6DoF bothhands6DoF	/images/headsets/Samsung%20Odyssey.jpg	PC	Samsung による Windows MR 対応ヘッドセットの本命。有機 EL による豊かな発色、破綻のない諧調表現、スイートスポットが広く見やすいレンズ、広い視野角を備え、横並びなのは値段だけ。IPD もハードウェアで調整可能。装着感も良好だが、人によってはやや重さを感じる面もあるらしい。すごい。WinMR では唯一フリプアップ機構を搭載していない。	Windows Store\nSteamVR	6DoF	両手6DoF	Inside-Out のため制限なし	◎	ハンドコントローラー（6DoF）\nXbox One Controller（別売）	PC依存	-	60 - 72mm	-	29.95px	2880 × 1600 @ 60 / 90fps	110度	ヘッドフォン備え付け （AKG 360° Spatial Sound）	アレイマイク内臓	-	$499.99	-	link:公式サイト,https://www.samsung.com/us/computing/hmd/windows-mixed-reality/xe800zaa-hc1us-xe800zaa-hc1us/		
Oculus Rift CV1（2019/4/22 販売終了）	virtual oculus steam pc head6DoF bothhands6DoF	/images/headsets/Oculus%20Rift%20CV1.jpg	PC	VR ブームを巻き起こした Oculus による最初のリリース製品。Oculus Touch によるハンドプレゼンスは他の追随を許さず、Oculus 自身によるコンテンツへの投資で、専用の高品質なタイトルが多く遊べる。社をかけたプレゼンスへの執着がすごい。	Oculus\nSteamVR\nViveport	6DoF（Constellation）	両手6DoF	最大1.5m四方（2センサー）\n最大3.1m四方（3センサー）	◎	Oculus Touch\nXbox One Controller（別売）\nOculus Remote（別売）	PC依存	-	58 - 72mm	-	22.46px	2160 × 1200 @ 90fps	110度	ヘッドフォン備え付け	マイク内蔵	-	$349	¥45,000	link:公式サイト,https://www.oculus.com/rift/		
HTC Vive	virtual steam pc head6DoF bothhands6DoF	/images/headsets/HTC%20Vive.jpg	PC	HTC による初のハイエンドヘッドセット。初期ハイエンドVR市場で Oculus に負けない代表勢力の地位を築いた。Valve の SteamVR に準拠しており、Lighthouse による広範囲の安定したトラッキングが可能。	SteamVR\nViveport	6DoF（SteamVR Tracking 1.0）	両手6DoF	最大3.5m四方 （実際頑張れば5m四方も）	◎	Vive Controller\nVive Tracker（別売）	PC依存	-	60.8 - 74.7mm	-	22.46px	2160 × 1200 @ 90fps	110度	なし 別売りの Deluxe Audio Strap あり	マイク内蔵	ステレオミニ	¥499	¥69,390	link:公式サイト,https://www.vive.com/jp/product/		
Oculus Quest（Santa Cruz）	virtual oculus mobile standalone head6DoF bothhands6DoF	/images/headsets/Oculus%20Quest.jpg	スタンドアロン	Oculus によるハイエンド・スタンドアロン。頭と両手のポジショントラッキングが可能な初のスタンドアロン・ヘッドセットとなる予定である。Oculus Insight と呼ばれるトラッキングシステムを持ち、4つのトラッキングカメラを4隅に配することで、かなり後ろの角度までハンドトラッキングが可能。また、体験者によれば Rift にも劣らない滑らかなトラッキングが最初の発表時から既に実現されていたとのこと。コンテンツの移植作業に関しては、Rift 用の Touch を使って開発が可能。主に性能面での最適化を進める形になる。OC4 での発表では、2018年に開発者版を出荷予定。OC5 での発表により、空間に存在する障害物を単純化して認識したり、複数の部屋にまたがる強化された Guardian や、複数人で同じ空間のスキャン結果を共有できる能力などが明らかになった。Oculus Go より低音の改善されたスピーカーも搭載している。399ドルで2019年春発売。	Oculus Store（Quest）	6DoF（Oculus Insight）	両手6DoF	Inside-Out のため制限なし。複数の部屋にわたって Guardian を構築できる。	◎	Oculus Touch (for Oculus Quest & Rift S)	Snapdragon 835	64GB\n128GB	58 - 72mm	-	31.90px	3200 × 1440 @ 72fps	110度（Oculus Go と同じレンズ）	ステレオスピーカー内蔵	マイク内蔵	ステレオミニ	64GB: $399\n128GB: $499	64GB: ¥49,800\n128GB: ¥62,800	link:公式サイト,https://www.oculus.com/quest/	link:Mogura VR さんの徹底レポ（OC5）,https://www.moguravr.com/oculus-quest-2/	link:Mogura VR さんの体験レビュー（OC4）,https://www.moguravr.com/santa-cruz-oc4/
PlayStation VR	virtual psvr console head6DoF bothhands6DoF	/images/headsets/PlayStation%20VR.png	コンソール	Sony Interactive Entertainment によるハイエンドヘッドセット。PlayStation 4 シリーズに接続。元は Project Morpheus と呼ばれていた。遊びのノウハウに優れたコンソールゲームメーカーによる高品質なタイトルが遊べる他、ハイエンドの中ではインストールベースが大きいことからか、注目の無料デモの配信先となることも多い。	PlayStation	6DoF	両手6DoF	横1.9m × 縦3m（カメラの錐台の範囲）	◎	PlayStation Move	PlayStation 4 / PlayStation 4 Pro	-	PlayStation Camera による キャリブレーション（範囲不明）	-	22.03px（RGBサブピクセルを1つにまとめて計算）	1920 × RGB × 1080 @ 90 / 120fps	100度	イヤホン付属	マイク内蔵	ステレオミニ	$399	¥48,578	link:公式サイト,http://www.jp.playstation.com/psvr/		
Vive Focus Plus	virtual mobile standalone head6DoF bothhands6DoF 	/images/headsets/Vive%20Focus%20Plus.jpg	スタンドアロン	エンタープライズ向けを標榜する、アップデート版 Vive Focus。超音波を使用した 6DoF コントローラーが同梱され、体験の幅が大きく広がりそう。表示の網目感を軽減する新しいレンズも新たに採用している。\nキオスクモード、視線サポート、複数のヘッドセットをリモートで一括管理できるデバイス管理ツールが提供される。	VIVE WAVE\nViveport	6DoF（World-Scale Tracking）	両手6DoF	Inside-Out のため制限なし	筆者未体験	ハンドコントローラー	Snapdragon 835	内臓ストレージ不明\n2TBまでの microSD をサポート	可変（範囲不明）	-	29.95px	2880 × 1600 @ 75fps	110度	ステレオスピーカー内臓	マイク内蔵	ステレオミニ	$799	?	link:公式サイト,https://enterprise.vive.com/jp/focus-plus/	link:Mogura VR さんの記事,https://www.moguravr.com/vive-focus-plus-announce/	link:,
Vive Focus	virtual mobile standalone head6DoF onehand3DoF onehand6DoF bothhands6DoF	/images/headsets/Vive%20Focus.jpg	スタンドアロン	HTC によるスタンドアロンのヘッドセット。VR 対応を目玉の一つとして持つ Snapdragon 835 を採用し、外部センサーなしでポジショントラッキングが行える。当初はよくある 3DoF コントローラーだったが、アップデートで 6DoF 化（!?）すると発表され各所に衝撃を与えた。さらに、HTC U12+ スマートフォンを追加のコントローラーとして使用することができる予定であり、6DoF 両手という意味では Santa Cruz に先行するヘッドセットとなりうるハイスペックマシンである。2018年10月20日、新しい機材としての両手 6DoF コントローラーの開発者版が発表された。	Vive Wave\nViveport	6DoF（World-Scale Tracking）	片手3DoF\n片手6DoF（アップデート）\n両手6DoF（HTC U12+ または対応コントローラー接続時）	Inside-Out のため制限なし	○	ハンドコントローラー（3DoF）	Snapdragon 835	内臓ストレージ不明\n2TBまでの microSD をサポート	可変（範囲不明）	-	29.95px	2880 × 1600 @ 75fps	110度	ステレオスピーカー内臓	マイク内蔵	ステレオミニ	Electric Blue: 4,299中国元\nAlmond White: 3,999中国元	法人向け：¥72,090	link:公式サイト,https://www.vive.com/cn/product/vive-focus-en/	link:国内発売を伝える PANORA さんの記事,https://panora.tokyo/78184/	link:6DoF コントローラーに関する Mogura VR さんの記事,https://www.moguravr.com/htc-6dof-controller/
